"municipio","cod_comunidad","comunidad","cod_calle","nombre_calle"
MP. TUBORES,"15-9-1-150901009-1",LAGUNA DE RAYA,"15-9-1-150901009-1PROV/1",URB JOSE FELIX ETAPA II
MP. TUBORES,"15-9-2-150902007-1",EL HATICO,"15-9-2-150902007-1PROV/1",EL HATICO ARRIBA
MP. TUBORES,"15-9-1-150901001-2",LA QUINTA,"15-9-1-150901001-2PROV/1",CALLE VIRGEN DEL VALLE - LA CRUZ
MP. TUBORES,"15-9-1-150901004-1",LA SALINA,"15-9-1-150901004-1PROV/2",VEREDA 01
MP. TUBORES,"15-9-1-150901004-1",LA SALINA,"15-9-1-150901004-1PROV/1",VEREDA 03
MP. TUBORES,"15-9-1-150901004-8",PUNTA DE PIEDRAS 2,"15-9-1-150901004-8PROV/1",CALLE MATA SIETE
MP.PENIN. DE MACANAO,"15-7-1-150701006-1",MODESTO VELASQUEZ,"15-7-1-150701006-1PROV/1",SECTOR EL CLAVELLINAR Y LAS NASAS - PUERTO ESCONDIO
MP. GOMEZ,"15-3-5-150305001-2",LOS GRACITANOS,"15-3-5-150305001-2PROV/1",CALLE CHUCHO CABRERA
MP. GOMEZ,"15-3-5-150305003-3",LA GRACIA DE DIOS,"15-3-5-150305003-3PROV/1",CHIPI CHIPI 2
MP.ANTOLIN DEL CAMPO,"15-10-1-151001014-1",APECURERO,"15-10-1-151001014-1PROV/1",EL ROBLE
MP.ANTOLIN DEL CAMPO,"15-10-1-151001011-1",LA MIRA,"15-10-1-151001011-1PROV/2",JULIA VICTORIA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001011-1",LA MIRA,"15-10-1-151001011-1PROV/1",LOS NIETOS
MP.ANTOLIN DEL CAMPO,"15-10-1-151001003-1","PUEBLO NUEVO, EL TIRANO","15-10-1-151001003-1PROV/1",MIRAMAR
MP.ANTOLIN DEL CAMPO,"15-10-1-151001002-1",LOMA DE GUERRA,"15-10-1-151001002-1PROV/2",MARIÑO
MP.ANTOLIN DEL CAMPO,"15-10-1-151001002-1",LOMA DE GUERRA,"15-10-1-151001002-1PROV/1",JUAN BAUTISTA ARISMENDI 2
MP.PENIN. DE MACANAO,"15-7-1-150701001-1",CARACAS CIRCUITO 4,"15-7-1-150701001-1PROV/1",CALLE LA MARINA- PUNTILLA SUR
MP. GARCIA,"15-11-2-151102023-1",VILLA ZOITA,"15-11-2-151102023-1-5",RESIDENCIA ZARAGOZA
MP. GOMEZ,"15-3-1-150301009-6",URBANIZACION LOS COCOTEROS,"15-3-1-150301009-6PROV/2",URBANIZACION ALTOS EL MORO
MP. ARISMENDI,"15-1-1-150101002-9",URB. EL ESCUDO DE ARMAS,"15-1-1-150101002-9PROV/1",QUINTAS YOLANDA
MP. TUBORES,"15-9-2-150902003-1-HO",HATO ORINOCO,"15-9-2-150902003-1-HO-PROV/1",CALLE 01
MP.VILLALBA(I.COCHE),"15-8-2-150802003-1",EL GUAMACHE ISLA DE COCHE,"15-8-2-150802003-1PROV/3",CERRO SUR
MP.VILLALBA(I.COCHE),"15-8-2-150802003-1",EL GUAMACHE ISLA DE COCHE,"15-8-2-150802003-1PROV/2",LA MARINA
MP.VILLALBA(I.COCHE),"15-8-2-150802003-1",EL GUAMACHE ISLA DE COCHE,"15-8-2-150802003-1PROV/1",LLANO ADENTRO
MP. ARISMENDI,"15-1-1-150101007-1",EL MAMEY,"15-1-1-150101007-1PROV/1",MARGARITA 3
MP. MARIÑO,"15-6-1-150601016-3",EDIFICIOS BELLA VISTA LA PLAYA,"15-6-1-150601016-3PROV/5",EDIF RIALTO
MP. MARIÑO,"15-6-1-150601016-3",EDIFICIOS BELLA VISTA LA PLAYA,"15-6-1-150601016-3PROV/2",EDIF LINAMAR
MP.PENIN. DE MACANAO,"15-7-2-150702006-1",PEDRO LUIS BRICEÑO I,"15-7-2-150702006-1PROV/1",CALLE LOS ROMEROS Y CALLE DOÑA CLARA
MP. ARISMENDI,"15-1-1-150101007-2",CASCO CENTRAL,"15-1-1-150101007-2PROV/2",BOULEVARD 5 DE JULIO NORTE Y SUR
MP. DIAZ,"15-2-1-150201004-3",URBANIZACION NEGRO CAMINO,"15-2-1-150201004-3PROV/2",VEREDA 14 Y CALLE 5 Y VEREDA 6 CON CALLE 01
MP. DIAZ,"15-2-1-150201004-3",URBANIZACION NEGRO CAMINO,"15-2-1-150201004-3PROV/1",CALLE 1 Y 2
MP. ARISMENDI,"15-1-1-150101003-1",CANTARANA-CERRO EL CASTILLO,"15-1-1-150101003-1PROV/1",VIRGEN DEL CARMEN
MP. DIAZ,"15-2-2-150202012-1",LAS GUEVARAS SECTOR SUR,"15-2-2-150202012-1PROV/1",CALLE PRINCIPAL ABAJO
MP. ARISMENDI,"15-1-1-150101014-5",LAS TERRAZAS SANTA LUCIA,"15-1-1-150101014-5PROV/1",GUARANDOL
MP. DIAZ,"100201002-5",BRISAS DE LOS FERMINES,"100201002-5-6","CALLE PRINCIPAL -B, CALLEJÓN LAS PALMAS Y CALLEJÓN EL DIQUE"
MP. DIAZ,"100201002-5",BRISAS DE LOS FERMINES,"100201002-5-4","TUCAN, CANAL"
MP. DIAZ,"100201002-5",BRISAS DE LOS FERMINES,"100201002-5-3",CALLE LIBERTAD - RIO TUCAN
MP. DIAZ,"100201002-5",BRISAS DE LOS FERMINES,"100201002-5-2","EL MANGUITO, VIDALINA LOPEZ, ROMELIA GONZALEZ"
MP. DIAZ,"100201002-5",BRISAS DE LOS FERMINES,"100201002-5-1",ARTURO SALAZAR
MP. DIAZ,"100201008-9",MATA DE COCO,"100201008-9-9",ANZOATEGUI
MP. DIAZ,"100201008-9",MATA DE COCO,"100201008-9-8",UNION
MP. DIAZ,"100201008-9",MATA DE COCO,"100201008-9-7","CALLE SAN FRANCISCO, GIRASOL Y CALLE EL SAMAN"
MP. DIAZ,"100201008-9",MATA DE COCO,"100201008-9-5",ORIPUEY
MP. DIAZ,"100201008-9",MATA DE COCO,"100201008-9-4",MATA DE COCO
MP. DIAZ,"100201008-9",MATA DE COCO,"100201008-9-3",GOMEZ Y CIMARRON
MP. DIAZ,"100201008-9",MATA DE COCO,"100201008-9-2","CALLE ESPERANZA, PROGRESO,CARPINTERO,LINARES"
MP. MARIÑO,"15-6-1-150601026-2-P2",POZO NUEVO 2,"15-6-1-150601026-2-P2PROV/2",BUENAVENTURA
MP. MARIÑO,"15-6-1-150601026-2-P2",POZO NUEVO 2,"15-6-1-150601026-2-14-P2",DOÑA ISABEL
MP. MARIÑO,"15-6-1-150601026-2-P2",POZO NUEVO 2,"15-6-1-150601026-2-13-P2",VELASQUEZ
MP. MARCANO,"15-5-2-150502003-5",RINCON LAS CABRERAS,"15-5-2-150502003-5PROV/1",CALLE EZEQUIEL BRITO 2 Y CALLE VERONICA MATA
MP. MANEIRO,"15-4-2-150402011-3",FUNDACIÓN MARGARITA,"15-4-2-150402011-3PROV/1",CALLE EL PORTAL DE LOS ROBLES
MP. DIAZ,"15-2-1-150201003-3",EL RINCON DEL TUEY,"15-2-1-150201003-3PROV/1",CALLE LOS CEDROS
MP. DIAZ,"15-2-1-150201019-1",CERROMAR,"15-2-1-150201019-1-12",CALLE SAN PEDRO
MP. DIAZ,"15-2-1-150201019-1",CERROMAR,"15-2-1-150201019-1-11",CALLE 12
MP. DIAZ,"15-2-1-150201019-1",CERROMAR,"15-2-1-150201019-1-10",CALLE 11
MP. DIAZ,"15-2-1-150201019-1",CERROMAR,"15-2-1-150201019-1PROV/3",CALLE 10
MP. DIAZ,"15-2-1-150201019-1",CERROMAR,"15-2-1-150201019-1-14",CALLE 4
